Frequency, Hz	Amplitude, dBm
1.420146667E+9	-8.315158000E+1
1.420150000E+9	-8.300056000E+1
1.420153333E+9	-8.294849000E+1
1.420156667E+9	-8.304350000E+1
1.420160000E+9	-8.297693000E+1
1.420163333E+9	-8.288465000E+1
1.420166667E+9	-8.297313000E+1
1.420170000E+9	-8.303687000E+1
1.420173333E+9	-8.304931000E+1
1.420176667E+9	-8.305148000E+1
1.420180000E+9	-8.300661000E+1
1.420183333E+9	-8.285399000E+1
1.420186667E+9	-8.295053000E+1
1.420190000E+9	-8.288958000E+1
1.420193333E+9	-8.284500000E+1
1.420196667E+9	-8.274759000E+1
1.420200000E+9	-8.256485000E+1
1.420203333E+9	-8.289846000E+1
1.420206667E+9	-8.279970000E+1
1.420210000E+9	-8.278329000E+1
1.420213333E+9	-8.284441000E+1
1.420216667E+9	-8.267188000E+1
1.420220000E+9	-8.270434000E+1
1.420223333E+9	-8.269218000E+1
1.420226667E+9	-8.247491000E+1
1.420230000E+9	-8.263754000E+1
1.420233333E+9	-8.258220000E+1
1.420236667E+9	-8.243887000E+1
1.420240000E+9	-8.256750000E+1
1.420243333E+9	-8.262548000E+1
1.420246667E+9	-8.248611000E+1
1.420250000E+9	-8.238824000E+1
1.420253333E+9	-8.227613000E+1
1.420256667E+9	-8.221706000E+1
1.420260000E+9	-8.219839000E+1
1.420263333E+9	-8.228327000E+1
1.420266667E+9	-8.218211000E+1
1.420270000E+9	-8.222868000E+1
1.420273333E+9	-8.221866000E+1
1.420276667E+9	-8.222789000E+1
1.420280000E+9	-8.219042000E+1
1.420283333E+9	-8.216619000E+1
1.420286667E+9	-8.223093000E+1
1.420290000E+9	-8.239105000E+1
1.420293333E+9	-8.223399000E+1
1.420296667E+9	-8.162294000E+1
1.420300000E+9	-8.223932000E+1
1.420303333E+9	-8.234689000E+1
1.420306667E+9	-8.233521000E+1
1.420310000E+9	-8.204951000E+1
1.420313333E+9	-8.212543000E+1
1.420316667E+9	-8.197095000E+1
1.420320000E+9	-8.220581000E+1
1.420323333E+9	-8.207317000E+1
1.420326667E+9	-8.224989000E+1
1.420330000E+9	-8.226663000E+1
1.420333333E+9	-8.207067000E+1
1.420336667E+9	-8.238760000E+1
1.420340000E+9	-8.235956000E+1
1.420343333E+9	-8.244731000E+1
1.420346667E+9	-8.226626000E+1
1.420350000E+9	-8.239176000E+1
1.420353333E+9	-8.256889000E+1
1.420356667E+9	-8.273215000E+1
